,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
CLNS1A,1.87E-05,-0.326535926,0.127,0.235,0.31698835,2,CLNS1A
SCPEP1,1.91E-05,-0.403494847,0.183,0.308,0.324262288,2,SCPEP1
CLEC10A,2.22E-05,-0.547395458,0.09,0.193,0.376224931,2,CLEC10A
MFSD1,2.22E-05,-0.266673803,0.207,0.325,0.376883782,2,MFSD1
TMED10,2.57E-05,-0.280463324,0.237,0.358,0.436532678,2,TMED10
PRPF40A,3.01E-05,-0.290817026,0.157,0.268,0.510905511,2,PRPF40A
PEA15,3.02E-05,-0.456371354,0.157,0.276,0.512770135,2,PEA15
CALR,3.83E-05,-0.312163331,0.407,0.541,0.649980677,2,CALR
HEXB,4.30E-05,-0.447750918,0.243,0.375,0.728982875,2,HEXB
HSPA5,4.55E-05,-0.257643905,0.26,0.378,0.772345108,2,HSPA5
TUBB4B,4.56E-05,-0.357249401,0.13,0.236,0.77361564,2,TUBB4B
GCC2,4.99E-05,-0.313592654,0.163,0.269,0.847422586,2,GCC2
VSIG4,5.19E-05,-0.337513876,0.24,0.361,0.881642482,2,VSIG4
CPM,5.35E-05,-0.693404808,0.143,0.256,0.907926743,2,CPM
CLEC2B,6.03E-05,-0.270515945,0.257,0.378,1,2,CLEC2B
TAF1D,6.73E-05,-0.335077799,0.177,0.29,1,2,TAF1D
PDIA6,6.98E-05,-0.272667894,0.203,0.314,1,2,PDIA6
DYNC1I2,7.05E-05,-0.441628059,0.107,0.208,1,2,DYNC1I2
FXYD2,7.14E-05,-0.388041805,0.17,0.287,1,2,FXYD2
FCGR3A,7.39E-05,-0.398333226,0.267,0.392,1,2,FCGR3A
SNRNP70,8.02E-05,-0.331869557,0.143,0.25,1,2,SNRNP70
IL18,8.25E-05,-0.368888102,0.13,0.232,1,2,IL18
HSPA1A,8.74E-05,-0.346995681,0.397,0.523,1,2,HSPA1A
CD83,9.00E-05,-0.458581432,0.157,0.268,1,2,CD83
IFNGR1,9.52E-05,-0.336837961,0.38,0.511,1,2,IFNGR1
TUBA1A,0.000105562,-0.287459393,0.157,0.265,1,2,TUBA1A
CACYBP,0.000129037,-0.40451148,0.14,0.246,1,2,CACYBP
POLR2J3,0.000134642,-0.361628713,0.19,0.301,1,2,POLR2J3
ARF6,0.000157474,-0.271471109,0.223,0.334,1,2,ARF6
IGSF6,0.00019789,-0.367881077,0.273,0.394,1,2,IGSF6
ARHGAP18,0.000216694,-0.264156926,0.187,0.29,1,2,ARHGAP18
SLC1A3,0.000237929,-0.485026766,0.17,0.276,1,2,SLC1A3
ISCU,0.000242178,-0.383791124,0.217,0.332,1,2,ISCU
OCIAD1,0.000261597,-0.292828311,0.177,0.281,1,2,OCIAD1
ID2,0.000263109,-0.410858179,0.443,0.57,1,2,ID2
ORC4,0.000264935,-0.326054827,0.3,0.42,1,2,ORC4
TMEM176A,0.000354091,-0.431427474,0.163,0.268,1,2,TMEM176A
MYDGF,0.000370847,-0.266647098,0.217,0.326,1,2,MYDGF
FCGR2A,0.000387383,-0.449092294,0.337,0.459,1,2,FCGR2A
SQSTM1,0.000398401,-0.385372335,0.21,0.321,1,2,SQSTM1
BLOC1S6,0.0004396,-0.436111364,0.233,0.346,1,2,BLOC1S6
NAP1L1,0.000479491,-0.292928189,0.497,0.617,1,2,NAP1L1
ALOX5AP,0.001035013,-0.264826482,0.42,0.531,1,2,ALOX5AP
CHCHD10,0.001037175,-0.262623658,0.273,0.376,1,2,CHCHD10
SPP1.1,1.42E-118,2.981135899,0.893,0.469,2.41E-114,3,SPP1
CSTB.1,4.24E-85,2.008189089,0.913,0.706,7.20E-81,3,CSTB
HLA-DPA1.1,6.78E-58,-1.788866055,0.67,0.868,1.15E-53,3,HLA-DPA1
CTSD.1,2.31E-57,1.389255862,0.907,0.571,3.92E-53,3,CTSD
HLA-DPB1.1,2.99E-54,-1.949325383,0.64,0.836,5.08E-50,3,HLA-DPB1
MIF,3.03E-50,1.540793252,0.847,0.725,5.14E-46,3,MIF
